"month_day","rides","month","day","date"
"12/5","44215","12","5","2019/12/5"
"12/6","41827","12","6","2019/12/6"
"12/7","25833","12","7","2019/12/7"
"12/8","18607","12","8","2019/12/8"
"12/9","30564","12","9","2019/12/9"
"12/10","36485","12","10","2019/12/10"
"12/11","37676","12","11","2019/12/11"
"12/12","41299","12","12","2019/12/12"
"12/13","39491","12","13","2019/12/13"
"12/14","25795","12","14","2019/12/14"
"12/15","18214","12","15","2019/12/15"
"12/16","30944","12","16","2019/12/16"
"12/17","35582","12","17","2019/12/17"
"12/18","38511","12","18","2019/12/18"
"12/19","39871","12","19","2019/12/19"
"12/20","36583","12","20","2019/12/20"
"12/21","21297","12","21","2019/12/21"
"12/22","17805","12","22","2019/12/22"
"12/23","22689","12","23","2019/12/23"
"12/24","12427","12","24","2019/12/24"
"12/25","5498","12","25","2019/12/25"
"12/26","14749","12","26","2019/12/26"
"12/27","20604","12","27","2019/12/27"
"12/28","17424","12","28","2019/12/28"
"12/29","14278","12","29","2019/12/29"
"12/30","20878","12","30","2019/12/30"
"12/31","20018","12","31","2019/12/31"
